file_name,path,well_plate,well,plate,date_time,RFU,platekey,population,treatment,replicate,start_time,days,acclimation_conditions,experiment_conditions
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-10_0753am_191010_075331_0001_,data-raw/chlorophyll/aquatic-ecology-,C02_2,C02,2,2019-10-10T07:46:19Z,39,2,3.7,3,7,2019-10-09T16:00:09Z,0.6570601851851852,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-10_0753am_191010_075331_0001_,data-raw/chlorophyll/aquatic-ecology-,D02_2,D02,2,2019-10-10T07:46:19Z,15,2,3.1,3,1,2019-10-09T16:00:09Z,0.6570601851851852,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-10_0753am_191010_075331_0001_,data-raw/chlorophyll/aquatic-ecology-,E02_2,E02,2,2019-10-10T07:46:19Z,48,2,3.8,3,8,2019-10-09T16:00:09Z,0.6570601851851852,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-10_0753am_191010_075331_0001_,data-raw/chlorophyll/aquatic-ecology-,F02_2,F02,2,2019-10-10T07:46:19Z,11,2,2.1,2,1,2019-10-09T16:00:09Z,0.6570601851851852,dark_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-10_0753am_191010_075331_0001_,data-raw/chlorophyll/aquatic-ecology-,G02_2,G02,2,2019-10-10T07:46:19Z,24,2,3.4,3,4,2019-10-09T16:00:09Z,0.6570601851851852,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-10_1729pm_191010_172916_0001_,data-raw/chlorophyll/aquatic-ecology-,B02_2,B02,2,2019-10-10T17:22:16Z,6,2,1.2,1,2,2019-10-09T16:00:09Z,1.057025462962963,light_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-10_1729pm_191010_172916_0001_,data-raw/chlorophyll/aquatic-ecology-,C02_2,C02,2,2019-10-10T17:22:16Z,47,2,3.7,3,7,2019-10-09T16:00:09Z,1.057025462962963,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-10_1729pm_191010_172916_0001_,data-raw/chlorophyll/aquatic-ecology-,D02_2,D02,2,2019-10-10T17:22:16Z,19,2,3.1,3,1,2019-10-09T16:00:09Z,1.057025462962963,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-10_1729pm_191010_172916_0001_,data-raw/chlorophyll/aquatic-ecology-,E02_2,E02,2,2019-10-10T17:22:16Z,45,2,3.8,3,8,2019-10-09T16:00:09Z,1.057025462962963,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-10_1729pm_191010_172916_0001_,data-raw/chlorophyll/aquatic-ecology-,F02_2,F02,2,2019-10-10T17:22:16Z,9,2,2.1,2,1,2019-10-09T16:00:09Z,1.057025462962963,dark_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-10_1729pm_191010_172916_0001_,data-raw/chlorophyll/aquatic-ecology-,G02_2,G02,2,2019-10-10T17:22:16Z,28,2,3.4,3,4,2019-10-09T16:00:09Z,1.057025462962963,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-11_0808am_191011_080849_0001_,data-raw/chlorophyll/aquatic-ecology-,B02_2,B02,2,2019-10-11T08:01:47Z,7,2,1.2,1,2,2019-10-09T16:00:09Z,1.6678009259259259,light_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-11_0808am_191011_080849_0001_,data-raw/chlorophyll/aquatic-ecology-,C02_2,C02,2,2019-10-11T08:01:47Z,62,2,3.7,3,7,2019-10-09T16:00:09Z,1.6678009259259259,cycle_acclimated,grown_in_light
